uat.siruta,county.code,cc
125347,OT,ot
125472,OT,ot
125418,OT,ot
125542,OT,ot
125622,OT,ot
128105,OT,ot
128374,OT,ot
128711,OT,ot
125677,OT,ot
125659,OT,ot
130286,OT,ot
125757,OT,ot
125846,OT,ot
125873,OT,ot
125962,OT,ot
126022,OT,ot
125999,OT,ot
126077,OT,ot
130295,OT,ot
126166,OT,ot
126102,OT,ot
126148,OT,ot
126228,OT,ot
126326,OT,ot
126380,OT,ot
126406,OT,ot
126503,OT,ot
126433,OT,ot
126585,OT,ot
126647,OT,ot
126674,OT,ot
126718,OT,ot
126772,OT,ot
126825,OT,ot
125490,OT,ot
126905,OT,ot
126978,OT,ot
127019,OT,ot
127064,OT,ot
130302,OT,ot
125588,OT,ot
130311,OT,ot
127126,OT,ot
127144,OT,ot
127171,OT,ot
130320,OT,ot
127224,OT,ot
130339,OT,ot
127251,OT,ot
127288,OT,ot
127322,OT,ot
130348,OT,ot
127368,OT,ot
127386,OT,ot
127411,OT,ot
127493,OT,ot
127536,OT,ot
127563,OT,ot
127625,OT,ot
127689,OT,ot
127714,OT,ot
127750,OT,ot
127812,OT,ot
127858,OT,ot
127901,OT,ot
127938,OT,ot
130357,OT,ot
127983,OT,ot
128178,OT,ot
128052,OT,ot
128221,OT,ot
128301,OT,ot
128436,OT,ot
128472,OT,ot
128524,OT,ot
128560,OT,ot
128588,OT,ot
128882,OT,ot
130366,OT,ot
128613,OT,ot
128659,OT,ot
128864,OT,ot
125374,OT,ot
128962,OT,ot
129040,OT,ot
129095,OT,ot
129111,OT,ot
129139,OT,ot
129184,OT,ot
129246,OT,ot
130384,OT,ot
129282,OT,ot
129317,OT,ot
129380,OT,ot
129460,OT,ot
129503,OT,ot
129567,OT,ot
129585,OT,ot
129629,OT,ot
129656,OT,ot
129718,OT,ot
129745,OT,ot
129763,OT,ot
129987,OT,ot
129816,OT,ot
129898,OT,ot
130375,OT,ot
129914,OT,ot
130026,OT,ot
130062,OT,ot
130124,OT,ot
130231,OT,ot
13169,AG,ag
13490,AG,ag
13622,AG,ag
13668,AG,ag
13301,AG,ag
13392,AG,ag
13757,AG,ag
13819,AG,ag
13891,AG,ag
13935,AG,ag
13999,AG,ag
14049,AG,ag
13187,AG,ag
14085,AG,ag
14165,AG,ag
14272,AG,ag
14450,AG,ag
14352,AG,ag
14405,AG,ag
14584,AG,ag
14673,AG,ag
14726,AG,ag
13276,AG,ag
14753,AG,ag
14851,AG,ag
14922,AG,ag
20063,AG,ag
14940,AG,ag
15064,AG,ag
15108,AG,ag
15233,AG,ag
15313,AG,ag
15402,AG,ag
15448,AG,ag
15493,AG,ag
15554,AG,ag
15652,AG,ag
15741,AG,ag
15830,AG,ag
15901,AG,ag
15983,AG,ag
16132,AG,ag
16285,AG,ag
16329,AG,ag
16365,AG,ag
16427,AG,ag
16454,AG,ag
16472,AG,ag
16506,AG,ag
16551,AG,ag
16613,AG,ag
16659,AG,ag
16739,AG,ag
16757,AG,ag
16908,AG,ag
16944,AG,ag
17049,AG,ag
13365,AG,ag
17101,AG,ag
17209,AG,ag
17254,AG,ag
17334,AG,ag
17398,AG,ag
17423,AG,ag
17496,AG,ag
17575,AG,ag
17619,AG,ag
17726,AG,ag
17771,AG,ag
17824,AG,ag
17851,AG,ag
18028,AG,ag
17913,AG,ag
17968,AG,ag
18162,AG,ag
18242,AG,ag
18331,AG,ag
20048,AG,ag
18411,AG,ag
18475,AG,ag
18527,AG,ag
18554,AG,ag
18581,AG,ag
18670,AG,ag
18741,AG,ag
18778,AG,ag
18858,AG,ag
18938,AG,ag
19007,AG,ag
19114,AG,ag
19141,AG,ag
19212,AG,ag
19249,AG,ag
19338,AG,ag
19392,AG,ag
19560,AG,ag
19631,AG,ag
19695,AG,ag
13524,AG,ag
19793,AG,ag
19999,AG,ag
20055,AG,ag
139704,SJ,sj
139740,SJ,sj
139811,SJ,sj
139884,SJ,sj
139937,SJ,sj
139982,SJ,sj
140084,SJ,sj
140146,SJ,sj
140208,SJ,sj
140244,SJ,sj
140280,SJ,sj
140324,SJ,sj
180037,SJ,sj
140379,SJ,sj
140440,SJ,sj
140477,SJ,sj
140501,SJ,sj
140547,SJ,sj
140583,SJ,sj
140627,SJ,sj
140672,SJ,sj
140770,SJ,sj
140823,SJ,sj
140869,SJ,sj
140958,SJ,sj
141027,SJ,sj
141081,SJ,sj
141134,SJ,sj
141232,SJ,sj
141312,SJ,sj
141376,SJ,sj
141447,SJ,sj
141535,SJ,sj
141580,SJ,sj
141722,SJ,sj
141786,SJ,sj
141884,SJ,sj
141946,SJ,sj
142006,SJ,sj
142079,SJ,sj
142122,SJ,sj
142177,SJ,sj
142239,SJ,sj
142284,SJ,sj
142337,SJ,sj
142373,SJ,sj
142426,SJ,sj
142499,SJ,sj
142550,SJ,sj
142612,SJ,sj
142676,SJ,sj
142710,SJ,sj
142774,SJ,sj
142854,SJ,sj
142881,SJ,sj
179695,SJ,sj
179631,SJ,sj
142952,SJ,sj
143021,SJ,sj
143067,SJ,sj
143147,SJ,sj
179141,B,b
179150,B,b
179169,B,b
179178,B,b
179187,B,b
179196,B,b
174744,VN,vn
174860,VN,vn
174922,VN,vn
175019,VN,vn
175055,VN,vn
175126,VN,vn
175206,VN,vn
175224,VN,vn
178929,VN,vn
175260,VN,vn
175368,VN,vn
175439,VN,vn
175466,VN,vn
174780,VN,vn
175670,VN,vn
175732,VN,vn
175509,VN,vn
175590,VN,vn
175787,VN,vn
175885,VN,vn
175938,VN,vn
175983,VN,vn
176150,VN,vn
176212,VN,vn
174824,VN,vn
178938,VN,vn
176301,VN,vn
176338,VN,vn
176445,VN,vn
176506,VN,vn
176551,VN,vn
176613,VN,vn
176686,VN,vn
176748,VN,vn
176793,VN,vn
176855,VN,vn
176891,VN,vn
178885,VN,vn
176944,VN,vn
177003,VN,vn
178947,VN,vn
177101,VN,vn
178910,VN,vn
177236,VN,vn
178894,VN,vn
177263,VN,vn
178901,VN,vn
177352,VN,vn
177405,VN,vn
178956,VN,vn
177469,VN,vn
177557,VN,vn
177600,VN,vn
177655,VN,vn
177726,VN,vn
177762,VN,vn
178965,VN,vn
177799,VN,vn
177842,VN,vn
177879,VN,vn
177986,VN,vn
178046,VN,vn
178117,VN,vn
178180,VN,vn
178279,VN,vn
178313,VN,vn
178607,VN,vn
178689,VN,vn
178377,VN,vn
178475,VN,vn
178545,VN,vn
178750,VN,vn
178821,VN,vn
143450,SB,sb
143619,SB,sb
143682,SB,sb
144054,SB,sb
143735,SB,sb
143771,SB,sb
143806,SB,sb
144928,SB,sb
143851,SB,sb
145499,SB,sb
145827,SB,sb
146012,SB,sb
143888,SB,sb
143922,SB,sb
143959,SB,sb
143995,SB,sb
144116,SB,sb
144152,SB,sb
144232,SB,sb
144198,SB,sb
144303,SB,sb
146021,SB,sb
144349,SB,sb
144376,SB,sb
144410,SB,sb
144508,SB,sb
144535,SB,sb
144456,SB,sb
143487,SB,sb
144553,SB,sb
144599,SB,sb
144615,SB,sb
144651,SB,sb
144713,SB,sb
144731,SB,sb
144795,SB,sb
144866,SB,sb
144893,SB,sb
144964,SB,sb
144991,SB,sb
145042,SB,sb
145104,SB,sb
145140,SB,sb
145202,SB,sb
145220,SB,sb
145275,SB,sb
143502,SB,sb
145293,SB,sb
145355,SB,sb
143520,SB,sb
145382,SB,sb
145408,SB,sb
145471,SB,sb
145603,SB,sb
145667,SB,sb
145738,SB,sb
143557,SB,sb
145765,SB,sb
145792,SB,sb
143646,SB,sb
145907,SB,sb
145934,SB,sb
145961,SB,sb
145998,SB,sb
35731,BT,bt
36006,BT,bt
36453,BT,bt
35946,BT,bt
37280,BT,bt
36060,BT,bt
39168,BT,bt
40035,BT,bt
36131,BT,bt
36202,BT,bt
36300,BT,bt
39983,BT,bt
36373,BT,bt
36426,BT,bt
36499,BT,bt
39967,BT,bt
36532,BT,bt
36569,BT,bt
36649,BT,bt
36676,BT,bt
36756,BT,bt
39975,BT,bt
36809,BT,bt
36907,BT,bt
36952,BT,bt
35759,BT,bt
37057,BT,bt
37011,BT,bt
39959,BT,bt
37100,BT,bt
37173,BT,bt
37217,BT,bt
37324,BT,bt
37397,BT,bt
37459,BT,bt
37547,BT,bt
37618,BT,bt
37672,BT,bt
37734,BT,bt
37770,BT,bt
37823,BT,bt
37850,BT,bt
39942,BT,bt
37912,BT,bt
37958,BT,bt
38063,BT,bt
38161,BT,bt
38241,BT,bt
38321,BT,bt
38376,BT,bt
38456,BT,bt
38492,BT,bt
38544,BT,bt
38580,BT,bt
35839,BT,bt
38633,BT,bt
38679,BT,bt
38731,BT,bt
38811,BT,bt
38848,BT,bt
38893,BT,bt
35884,BT,bt
38982,BT,bt
39051,BT,bt
39122,BT,bt
39220,BT,bt
39266,BT,bt
39328,BT,bt
39391,BT,bt
39417,BT,bt
39532,BT,bt
39612,BT,bt
39694,BT,bt
