uat.siruta,county.code,cc
39658,BT,bt
39738,BT,bt
39792,BT,bt
39836,BT,bt
39872,BT,bt
130534,PH,ph
131256,PH,ph
130954,PH,ph
130981,PH,ph
131069,PH,ph
131103,PH,ph
131210,PH,ph
131336,PH,ph
131407,PH,ph
131443,PH,ph
131540,PH,ph
131577,PH,ph
131620,PH,ph
131817,PH,ph
131899,PH,ph
131933,PH,ph
131988,PH,ph
132011,PH,ph
132075,PH,ph
132137,PH,ph
132164,PH,ph
132226,PH,ph
132271,PH,ph
132315,PH,ph
130552,PH,ph
136278,PH,ph
130614,PH,ph
132342,PH,ph
130678,PH,ph
132379,PH,ph
130712,PH,ph
132404,PH,ph
130785,PH,ph
132459,PH,ph
132486,PH,ph
132510,PH,ph
132574,PH,ph
132645,PH,ph
132681,PH,ph
136241,PH,ph
132716,PH,ph
132752,PH,ph
132805,PH,ph
132841,PH,ph
132896,PH,ph
133018,PH,ph
133090,PH,ph
131461,PH,ph
133278,PH,ph
133161,PH,ph
133214,PH,ph
133330,PH,ph
133394,PH,ph
133429,PH,ph
133508,PH,ph
133562,PH,ph
133615,PH,ph
133688,PH,ph
131835,PH,ph
133722,PH,ph
133795,PH,ph
133866,PH,ph
133919,PH,ph
133964,PH,ph
134014,PH,ph
134050,PH,ph
134096,PH,ph
134194,PH,ph
136250,PH,ph
134336,PH,ph
130847,PH,ph
134390,PH,ph
134443,PH,ph
131274,PH,ph
134559,PH,ph
134648,PH,ph
134755,PH,ph
134853,PH,ph
134899,PH,ph
134942,PH,ph
135020,PH,ph
135128,PH,ph
135146,PH,ph
135244,PH,ph
135164,PH,ph
135226,PH,ph
135315,PH,ph
135404,PH,ph
135431,PH,ph
135501,PH,ph
135547,PH,ph
135618,PH,ph
135654,PH,ph
135681,PH,ph
130892,PH,ph
135725,PH,ph
135789,PH,ph
135850,PH,ph
135896,PH,ph
136269,PH,ph
135949,PH,ph
136107,PH,ph
136134,PH,ph
136198,PH,ph
167473,VL,vl
167981,VL,vl
168372,VL,vl
167641,VL,vl
167696,VL,vl
168452,VL,vl
168602,VL,vl
167794,VL,vl
167909,VL,vl
168041,VL,vl
168130,VL,vl
168229,VL,vl
168309,VL,vl
168559,VL,vl
168675,VL,vl
168755,VL,vl
168791,VL,vl
168880,VL,vl
168960,VL,vl
169119,VL,vl
169039,VL,vl
169182,VL,vl
169253,VL,vl
169306,VL,vl
169351,VL,vl
169404,VL,vl
174502,VL,vl
169547,VL,vl
169583,VL,vl
169681,VL,vl
169896,VL,vl
169994,VL,vl
170097,VL,vl
170168,VL,vl
170220,VL,vl
170346,VL,vl
170444,VL,vl
170514,VL,vl
170612,VL,vl
174511,VL,vl
170685,VL,vl
170792,VL,vl
170872,VL,vl
170952,VL,vl
171021,VL,vl
171067,VL,vl
171101,VL,vl
171209,VL,vl
171272,VL,vl
171325,VL,vl
171469,VL,vl
174520,VL,vl
171539,VL,vl
171628,VL,vl
171806,VL,vl
171879,VL,vl
171931,VL,vl
171995,VL,vl
172082,VL,vl
172153,VL,vl
172279,VL,vl
172340,VL,vl
172377,VL,vl
172457,VL,vl
172509,VL,vl
172581,VL,vl
172698,VL,vl
172812,VL,vl
172894,VL,vl
172947,VL,vl
172992,VL,vl
173061,VL,vl
173132,VL,vl
173230,VL,vl
173374,VL,vl
173533,VL,vl
173597,VL,vl
173686,VL,vl
173748,VL,vl
173793,VL,vl
173855,VL,vl
174496,VL,vl
173935,VL,vl
174021,VL,vl
174085,VL,vl
174156,VL,vl
174218,VL,vl
174254,VL,vl
174290,VL,vl
100521,GR,gr
101190,GR,gr
104136,GR,gr
100781,GR,gr
101001,GR,gr
101163,GR,gr
101378,GR,gr
101519,GR,gr
101617,GR,gr
101662,GR,gr
101984,GR,gr
102071,GR,gr
102106,GR,gr
179748,GR,gr
102348,GR,gr
102446,GR,gr
102794,GR,gr
102909,GR,gr
103087,GR,gr
103194,GR,gr
103238,GR,gr
103309,GR,gr
103372,GR,gr
103354,GR,gr
103407,GR,gr
103470,GR,gr
179757,GR,gr
103639,GR,gr
103693,GR,gr
179766,GR,gr
103899,GR,gr
103997,GR,gr
104047,GR,gr
179739,GR,gr
104225,GR,gr
104118,GR,gr
104485,GR,gr
104519,GR,gr
104680,GR,gr
104715,GR,gr
104788,GR,gr
104831,GR,gr
179775,GR,gr
104975,GR,gr
105106,GR,gr
100549,GR,gr
105295,GR,gr
105348,GR,gr
154709,GR,gr
105623,GR,gr
105776,GR,gr
105874,GR,gr
105972,GR,gr
105909,GR,gr
40198,BV,bv
40241,BV,bv
40278,BV,bv
40438,BV,bv
40214,BV,bv
40303,BV,bv
40367,BV,bv
40394,BV,bv
40465,BV,bv
40492,BV,bv
40526,BV,bv
42498,BV,bv
40544,BV,bv
40606,BV,bv
40633,BV,bv
40688,BV,bv
40704,BV,bv
40768,BV,bv
40820,BV,bv
40857,BV,bv
40900,BV,bv
42456,BV,bv
42480,BV,bv
40928,BV,bv
40955,BV,bv
40991,BV,bv
41033,BV,bv
41088,BV,bv
41113,BV,bv
41177,BV,bv
42472,BV,bv
41248,BV,bv
41284,BV,bv
41346,BV,bv
41382,BV,bv
41417,BV,bv
41471,BV,bv
41541,BV,bv
41578,BV,bv
41621,BV,bv
41667,BV,bv
41701,BV,bv
41738,BV,bv
42464,BV,bv
41925,BV,bv
41818,BV,bv
41854,BV,bv
42449,BV,bv
41943,BV,bv
42003,BV,bv
42058,BV,bv
42076,BV,bv
42101,BV,bv
42156,BV,bv
42183,BV,bv
42236,BV,bv
42307,BV,bv
42398,BV,bv
161945,VS,vs
161794,VS,vs
161829,VS,vs
164981,VS,vs
161856,VS,vs
162014,VS,vs
162069,VS,vs
162149,VS,vs
162194,VS,vs
162327,VS,vs
162381,VS,vs
162452,VS,vs
162498,VS,vs
162559,VS,vs
162595,VS,vs
162693,VS,vs
162791,VS,vs
162871,VS,vs
162924,VS,vs
167268,VS,vs
163002,VS,vs
163057,VS,vs
163137,VS,vs
167277,VS,vs
163208,VS,vs
163253,VS,vs
163324,VS,vs
163379,VS,vs
164277,VS,vs
167286,VS,vs
163486,VS,vs
163618,VS,vs
163681,VS,vs
163734,VS,vs
163789,VS,vs
163832,VS,vs
167295,VS,vs
167231,VS,vs
163903,VS,vs
164062,VS,vs
163967,VS,vs
164133,VS,vs
164197,VS,vs
164339,VS,vs
167222,VS,vs
164393,VS,vs
164543,VS,vs
164598,VS,vs
164687,VS,vs
164749,VS,vs
164829,VS,vs
164892,VS,vs
164936,VS,vs
167302,VS,vs
165069,VS,vs
165130,VS,vs
165185,VS,vs
165274,VS,vs
167311,VS,vs
165416,VS,vs
167259,VS,vs
165336,VS,vs
165470,VS,vs
165611,VS,vs
167320,VS,vs
167240,VS,vs
165719,VS,vs
165817,VS,vs
165899,VS,vs
165979,VS,vs
166057,VS,vs
166137,VS,vs
166182,VS,vs
166235,VS,vs
166315,VS,vs
166413,VS,vs
166529,VS,vs
166636,VS,vs
166672,VS,vs
166707,VS,vs
166770,VS,vs
166869,VS,vs
166985,VS,vs
167035,VS,vs
167071,VS,vs
167179,VS,vs
63394,CV,cv
63740,CV,cv
63447,CV,cv
63526,CV,cv
63580,CV,cv
63777,CV,cv
65113,CV,cv
63633,CV,cv
63802,CV,cv
63866,CV,cv
65121,CV,cv
63893,CV,cv
63937,CV,cv
64005,CV,cv
64041,CV,cv
64096,CV,cv
64130,CV,cv
64194,CV,cv
64238,CV,cv
63553,CV,cv
65147,CV,cv
64265,CV,cv
65154,CV,cv
64318,CV,cv
64345,CV,cv
64390,CV,cv
64425,CV,cv
64461,CV,cv
64504,CV,cv
65105,CV,cv
65139,CV,cv
64568,CV,cv
64602,CV,cv
64639,CV,cv
64719,CV,cv
64773,CV,cv
64826,CV,cv
63688,CV,cv
64871,CV,cv
64906,CV,cv
65099,CV,cv
64942,CV,cv
64997,CV,cv
65011,CV,cv
65048,CV,cv
106318,MM,mm
106559,MM,mm
106684,MM,mm
106746,MM,mm
106782,MM,mm
108017,MM,mm
108892,MM,mm
108963,MM,mm
109176,MM,mm
106461,MM,mm
106817,MM,mm
109265,MM,mm
106979,MM,mm
107001,MM,mm
107047,MM,mm
107083,MM,mm
107118,MM,mm
107154,MM,mm
107190,MM,mm
107314,MM,mm
107234,MM,mm
107270,MM,mm
107350,MM,mm
107403,MM,mm
107430,MM,mm
107485,MM,mm
107519,MM,mm
107546,MM,mm
107715,MM,mm
107582,MM,mm
107662,MM,mm
179837,MM,mm
179846,MM,mm
107733,MM,mm
107868,MM,mm
107920,MM,mm
107975,MM,mm
108035,MM,mm
108106,MM,mm
179855,MM,mm
108151,MM,mm
106363,MM,mm
179622,MM,mm
108204,MM,mm
108222,MM,mm
108240,MM,mm
108268,MM,mm
108348,MM,mm
108366,MM,mm
108400,MM,mm
179864,MM,mm
108455,MM,mm
108473,MM,mm
179604,MM,mm
106407,MM,mm
108491,MM,mm
108552,MM,mm
108598,MM,mm
108614,MM,mm
108632,MM,mm
108669,MM,mm
108696,MM,mm
106620,MM,mm
108712,MM,mm
108794,MM,mm
108874,MM,mm
108918,MM,mm
108945,MM,mm
109005,MM,mm
109041,MM,mm
179613,MM,mm
109096,MM,mm
106648,MM,mm
109354,MM,mm
109425,MM,mm
109504,MM,mm
9262,AR,ar
9459,AR,ar
9495,AR,ar
9538,AR,ar
9574,AR,ar
9627,AR,ar
9654,AR,ar
11584,AR,ar
12091,AR,ar
9690,AR,ar
9743,AR,ar
9798,AR,ar
9832,AR,ar
9887,AR,ar
10051,AR,ar
10104,AR,ar
9930,AR,ar
10006,AR,ar
10195,AR,ar
10239,AR,ar
10293,AR,ar
10346,AR,ar
10373,AR,ar
10417,AR,ar
10453,AR,ar
10514,AR,ar
10532,AR,ar
10649,AR,ar
10701,AR,ar
12912,AR,ar
9280,AR,ar
10827,AR,ar
12920,AR,ar
10872,AR,ar
10916,AR,ar
10943,AR,ar
11058,AR,ar
11174,AR,ar
11236,AR,ar
11307,AR,ar
11352,AR,ar
9333,AR,ar
11398,AR,ar
11423,AR,ar
11478,AR,ar
11502,AR,ar
11539,AR,ar
11637,AR,ar
11664,AR,ar
11735,AR,ar
11762,AR,ar
11842,AR,ar
11940,AR,ar
11995,AR,ar
12037,AR,ar
12055,AR,ar
12126,AR,ar
12144,AR,ar
12206,AR,ar
12224,AR,ar
12242,AR,ar
12288,AR,ar
12340,AR,ar
12368,AR,ar
12402,AR,ar
9360,AR,ar
12457,AR,ar
12509,AR,ar
10765,AR,ar
12572,AR,ar
12689,AR,ar
12643,AR,ar
9397,AR,ar
12778,AR,ar
12938,AR,ar
12812,AR,ar
12849,AR,ar
12876,AR,ar
20297,BC,bc
20876,BC,bc
20563,BC,bc
20778,BC,bc
20821,BC,bc
22166,BC,bc
20910,BC,bc
20965,BC,bc
21007,BC,bc
21098,BC,bc
21123,BC,bc
21196,BC,bc
21454,BC,bc
21249,BC,bc
21338,BC,bc
21418,BC,bc
21506,BC,bc
21560,BC,bc
21597,BC,bc
26338,BC,bc
21668,BC,bc
21720,BC,bc
21757,BC,bc
21855,BC,bc
21891,BC,bc
21971,BC,bc
22059,BC,bc
22111,BC,bc
22237,BC,bc
22380,BC,bc
22460,BC,bc
22488,BC,bc
22576,BC,bc
22665,BC,bc
22781,BC,bc
22718,BC,bc
26346,BC,bc
22834,BC,bc
20607,BC,bc
22898,BC,bc
20313,BC,bc
22941,BC,bc
23047,BC,bc
26379,BC,bc
23127,BC,bc
20359,BC,bc
23207,BC,bc
23289,BC,bc
23350,BC,bc
23387,BC,bc
20411,BC,bc
23449,BC,bc
20466,BC,bc
23494,BC,bc
23644,BC,bc
23715,BC,bc
26353,BC,bc
23797,BC,bc
23868,BC,bc
23948,BC,bc
23975,BC,bc
24034,BC,bc
24089,BC,bc
24187,BC,bc
24276,BC,bc
24338,BC,bc
24427,BC,bc
24524,BC,bc
24631,BC,bc
26361,BC,bc
24711,BC,bc
24766,BC,bc
24837,BC,bc
24999,BC,bc
25068,BC,bc
25148,BC,bc
26320,BC,bc
25228,BC,bc
25291,BC,bc
25362,BC,bc
25488,BC,bc
25521,BC,bc
25629,BC,bc
20670,BC,bc
25692,BC,bc
25745,BC,bc
25825,BC,bc
25861,BC,bc
25932,BC,bc
26029,BC,bc
26083,BC,bc
26118,BC,bc
26289,BC,bc
42682,BR,br
42753,BR,br
43331,BR,br
43411,BR,br
42824,BR,br
42842,BR,br
42913,BR,br
44560,BR,br
42708,BR,br
42968,BR,br
43019,BR,br
43073,BR,br
43117,BR,br
43180,BR,br
43242,BR,br
43279,BR,br
43313,BR,br
43466,BR,br
43493,BR,br
43563,BR,br
43625,BR,br
43652,BR,br
43698,BR,br
43732,BR,br
43787,BR,br
43812,BR,br
43867,BR,br
43929,BR,br
43992,BR,br
44060,BR,br
44113,BR,br
42771,BR,br
44140,BR,br
44177,BR,br
44202,BR,br
44257,BR,br
44300,BR,br
44328,BR,br
44355,BR,br
44391,BR,br
44435,BR,br
44462,BR,br
44505,BR,br
44532,BR,br
159614,TL,tl
159650,TL,tl
159687,TL,tl
159730,TL,tl
159767,TL,tl
159785,TL,tl
159847,TL,tl
161552,TL,tl
159883,TL,tl
159945,TL,tl
159963,TL,tl
160092,TL,tl
160047,TL,tl
160127,TL,tl
160172,TL,tl
160225,TL,tl
160261,TL,tl
160305,TL,tl
160323,TL,tl
160387,TL,tl
160430,TL,tl
160458,TL,tl
160476,TL,tl
160528,TL,tl
161525,TL,tl
160564,TL,tl
160617,TL,tl
160644,TL,tl
160680,TL,tl
160724,TL,tl
160779,TL,tl
160831,TL,tl
160877,TL,tl
160911,TL,tl
160993,TL,tl
161035,TL,tl
161053,TL,tl
161106,TL,tl
161133,TL,tl
161151,TL,tl
161179,TL,tl
161231,TL,tl
161259,TL,tl
161286,TL,tl
161302,TL,tl
161348,TL,tl
161384,TL,tl
161464,TL,tl
161482,TL,tl
161561,TL,tl
161543,TL,tl
83320,HR,hr
83561,HR,hr
83133,HR,hr
83632,HR,hr
83428,HR,hr
83464,HR,hr
83491,HR,hr
83525,HR,hr
83749,HR,hr
83785,HR,hr
83847,HR,hr
83936,HR,hr
83151,HR,hr
83963,HR,hr
84102,HR,hr
86461,HR,hr
83981,HR,hr
84086,HR,hr
84148,HR,hr
84175,HR,hr
86446,HR,hr
84237,HR,hr
84380,HR,hr
84264,HR,hr
84344,HR,hr
83197,HR,hr
84415,HR,hr
84460,HR,hr
84558,HR,hr
84594,HR,hr
86479,HR,hr
84629,HR,hr
84656,HR,hr
84754,HR,hr
84825,HR,hr
86438,HR,hr
84923,HR,hr
85056,HR,hr
85074,HR,hr
85127,HR,hr
85243,HR,hr
83375,HR,hr
85289,HR,hr
86487,HR,hr
85341,HR,hr
86495,HR,hr
85412,HR,hr
86501,HR,hr
85467,HR,hr
85528,HR,hr
85680,HR,hr
85760,HR,hr
85788,HR,hr
85840,HR,hr
86519,HR,hr
85582,HR,hr
85626,HR,hr
85877,HR,hr
85920,HR,hr
85984,HR,hr
86453,HR,hr
86133,HR,hr
86188,HR,hr
86222,HR,hr
86311,HR,hr
86339,HR,hr
86366,HR,hr
60419,CT,ct
60482,CT,ct
60847,CT,ct
60776,CT,ct
60455,CT,ct
60801,CT,ct
62360,CT,ct
60507,CT,ct
62397,CT,ct
60687,CT,ct
60534,CT,ct
60598,CT,ct
60883,CT,ct
60570,CT,ct
60945,CT,ct
61005,CT,ct
63198,CT,ct
61069,CT,ct
63294,CT,ct
61121,CT,ct
61167,CT,ct
61210,CT,ct
61256,CT,ct
61283,CT,ct
61318,CT,ct
61372,CT,ct
61452,CT,ct
61513,CT,ct
63286,CT,ct
61559,CT,ct
61620,CT,ct
63300,CT,ct
61675,CT,ct
61737,CT,ct
63161,CT,ct
63334,CT,ct
61808,CT,ct
61826,CT,ct
63326,CT,ct
63278,CT,ct
61871,CT,ct
61951,CT,ct
62020,CT,ct
60632,CT,ct
62057,CT,ct
63152,CT,ct
62137,CT,ct
62253,CT,ct
62191,CT,ct
62280,CT,ct
62440,CT,ct
62486,CT,ct
62538,CT,ct
62609,CT,ct
62672,CT,ct
62707,CT,ct
62761,CT,ct
62798,CT,ct
63318,CT,ct
62823,CT,ct
62878,CT,ct
62903,CT,ct
62949,CT,ct
62985,CT,ct
63045,CT,ct
63072,CT,ct
63189,CT,ct
60721,CT,ct
63125,CT,ct
63170,CT,ct
120726,NT,nt
120860,NT,nt
120968,NT,nt
124117,NT,nt
121055,NT,nt
121108,NT,nt
124938,NT,nt
121153,NT,nt
121242,NT,nt
121466,NT,nt
121297,NT,nt
121340,NT,nt
121386,NT,nt
121607,NT,nt
125178,NT,nt
121652,NT,nt
121732,NT,nt
121796,NT,nt
121876,NT,nt
121938,NT,nt
122061,NT,nt
122025,NT,nt
120888,NT,nt
122132,NT,nt
122187,NT,nt
122249,NT,nt
122285,NT,nt
125098,NT,nt
122347,NT,nt
122392,NT,nt
125132,NT,nt
122463,NT,nt
120771,NT,nt
122551,NT,nt
122613,NT,nt
125150,NT,nt
122828,NT,nt
122668,NT,nt
125114,NT,nt
122702,NT,nt
122864,NT,nt
122908,NT,nt
122953,NT,nt
120922,NT,nt
123013,NT,nt
123102,NT,nt
123175,NT,nt
123228,NT,nt
125169,NT,nt
123255,NT,nt
123371,NT,nt
125141,NT,nt
123601,NT,nt
123424,NT,nt
123479,NT,nt
123521,NT,nt
123674,NT,nt
123790,NT,nt
123709,NT,nt
123914,NT,nt
123969,NT,nt
124028,NT,nt
124073,NT,nt
125105,NT,nt
124153,NT,nt
124206,NT,nt
120824,NT,nt
124233,NT,nt
124331,NT,nt
124411,NT,nt
124493,NT,nt
124563,NT,nt
124616,NT,nt
124634,NT,nt
124661,NT,nt
124723,NT,nt
124750,NT,nt
124803,NT,nt
124849,NT,nt
124885,NT,nt
125123,NT,nt
125016,NT,nt
125061,NT,nt
44818,BZ,bz
44845,BZ,bz
47916,BZ,bz
48325,BZ,bz
48744,BZ,bz
44863,BZ,bz
44934,BZ,bz
44989,BZ,bz
45003,BZ,bz
45101,BZ,bz
45245,BZ,bz
45334,BZ,bz
45361,BZ,bz
45389,BZ,bz
45496,BZ,bz
45539,BZ,bz
45619,BZ,bz
45673,BZ,bz
45815,BZ,bz
45753,BZ,bz
45888,BZ,bz
45959,BZ,bz
46019,BZ,bz
46108,BZ,bz
46180,BZ,bz
46251,BZ,bz
46313,BZ,bz
46377,BZ,bz
46439,BZ,bz
46484,BZ,bz
46554,BZ,bz
50564,BZ,bz
46769,BZ,bz
46803,BZ,bz
46830,BZ,bz
46867,BZ,bz
46910,BZ,bz
47006,BZ,bz
47079,BZ,bz
47159,BZ,bz
47186,BZ,bz
47300,BZ,bz
47337,BZ,bz
47373,BZ,bz
47417,BZ,bz
47630,BZ,bz
47453,BZ,bz
47578,BZ,bz
47774,BZ,bz
47818,BZ,bz
47854,BZ,bz
48021,BZ,bz
