SIRUTA,Cod judet
141786,SJ
141884,SJ
141946,SJ
142006,SJ
142079,SJ
142122,SJ
142177,SJ
142239,SJ
142284,SJ
142337,SJ
142373,SJ
142426,SJ
142499,SJ
142550,SJ
142612,SJ
142676,SJ
142710,SJ
142774,SJ
142854,SJ
142881,SJ
179695,SJ
179631,SJ
142952,SJ
143021,SJ
143067,SJ
143147,SJ
179141,B
179150,B
179169,B
179178,B
179187,B
179196,B
174744,VN
174860,VN
174922,VN
175019,VN
175055,VN
175126,VN
175206,VN
175224,VN
178929,VN
175260,VN
175368,VN
175439,VN
175466,VN
174780,VN
175670,VN
175732,VN
175509,VN
175590,VN
175787,VN
175885,VN
175938,VN
175983,VN
176150,VN
176212,VN
174824,VN
178938,VN
176301,VN
176338,VN
176445,VN
176506,VN
176551,VN
176613,VN
176686,VN
176748,VN
176793,VN
176855,VN
176891,VN
178885,VN
176944,VN
177003,VN
178947,VN
177101,VN
178910,VN
177236,VN
178894,VN
177263,VN
178901,VN
177352,VN
177405,VN
178956,VN
177469,VN
177557,VN
177600,VN
177655,VN
177726,VN
177762,VN
178965,VN
177799,VN
177842,VN
177879,VN
177986,VN
178046,VN
178117,VN
178180,VN
178279,VN
178313,VN
178607,VN
178689,VN
178377,VN
178475,VN
178545,VN
178750,VN
178821,VN
143450,SB
143619,SB
143682,SB
144054,SB
143735,SB
143771,SB
143806,SB
144928,SB
143851,SB
145499,SB
145827,SB
146012,SB
143888,SB
143922,SB
143959,SB
143995,SB
144116,SB
144152,SB
144232,SB
144198,SB
144303,SB
146021,SB
144349,SB
144376,SB
144410,SB
144508,SB
144535,SB
144456,SB
143487,SB
144553,SB
144599,SB
144615,SB
144651,SB
144713,SB
144731,SB
144795,SB
144866,SB
144893,SB
144964,SB
144991,SB
145042,SB
145104,SB
145140,SB
145202,SB
145220,SB
145275,SB
143502,SB
145293,SB
145355,SB
143520,SB
145382,SB
145408,SB
145471,SB
145603,SB
145667,SB
145738,SB
143557,SB
145765,SB
145792,SB
143646,SB
145907,SB
145934,SB
145961,SB
145998,SB
35731,BT
36006,BT
36453,BT
35946,BT
37280,BT
36060,BT
39168,BT
40035,BT
36131,BT
36202,BT
36300,BT
39983,BT
36373,BT
36426,BT
36499,BT
39967,BT
36532,BT
36569,BT
36649,BT
36676,BT
36756,BT
39975,BT
36809,BT
36907,BT
36952,BT
35759,BT
37057,BT
37011,BT
39959,BT
37100,BT
37173,BT
37217,BT
37324,BT
37397,BT
37459,BT
37547,BT
37618,BT
37672,BT
37734,BT
37770,BT
37823,BT
37850,BT
39942,BT
37912,BT
37958,BT
38063,BT
38161,BT
38241,BT
38321,BT
38376,BT
38456,BT
38492,BT
38544,BT
38580,BT
35839,BT
38633,BT
38679,BT
38731,BT
38811,BT
38848,BT
38893,BT
35884,BT
38982,BT
39051,BT
39122,BT
39220,BT
39266,BT
39328,BT
39391,BT
39417,BT
39532,BT
39612,BT
39694,BT
39658,BT
39738,BT
39792,BT
39836,BT
39872,BT
130534,PH
131256,PH
130954,PH
130981,PH
131069,PH
131103,PH
131210,PH
131336,PH
131407,PH
131443,PH
131540,PH
131577,PH
131620,PH
131817,PH
131899,PH
131933,PH
131988,PH
132011,PH
132075,PH
132137,PH
132164,PH
132226,PH
132271,PH
132315,PH
130552,PH
136278,PH
130614,PH
132342,PH
130678,PH
132379,PH
130712,PH
132404,PH
130785,PH
132459,PH
132486,PH
132510,PH
132574,PH
132645,PH
132681,PH
136241,PH
132716,PH
132752,PH
132805,PH
132841,PH
132896,PH
133018,PH
133090,PH
131461,PH
133278,PH
133161,PH
133214,PH
133330,PH
133394,PH
133429,PH
133508,PH
133562,PH
133615,PH
133688,PH
131835,PH
133722,PH
133795,PH
133866,PH
133919,PH
133964,PH
134014,PH
134050,PH
134096,PH
134194,PH
136250,PH
134336,PH
130847,PH
134390,PH
134443,PH
131274,PH
134559,PH
134648,PH
134755,PH
134853,PH
134899,PH
134942,PH
135020,PH
135128,PH
135146,PH
135244,PH
135164,PH
135226,PH
135315,PH
135404,PH
135431,PH
135501,PH
135547,PH
135618,PH
135654,PH
135681,PH
130892,PH
135725,PH
135789,PH
135850,PH
135896,PH
136269,PH
135949,PH
136107,PH
136134,PH
136198,PH
167473,VL
167981,VL
168372,VL
167641,VL
167696,VL
168452,VL
168602,VL
167794,VL
167909,VL
168041,VL
168130,VL
168229,VL
168309,VL
168559,VL
168675,VL
168755,VL
168791,VL
168880,VL
168960,VL
169119,VL
169039,VL
169182,VL
169253,VL
169306,VL
169351,VL
169404,VL
174502,VL
169547,VL
169583,VL
169681,VL
169896,VL
169994,VL
170097,VL
170168,VL
170220,VL
170346,VL
170444,VL
170514,VL
170612,VL
174511,VL
170685,VL
170792,VL
170872,VL
170952,VL
171021,VL
171067,VL
171101,VL
171209,VL
171272,VL
171325,VL
171469,VL
174520,VL
171539,VL
171628,VL
171806,VL
171879,VL
171931,VL
171995,VL
172082,VL
172153,VL
172279,VL
172340,VL
172377,VL
172457,VL
172509,VL
172581,VL
172698,VL
172812,VL
172894,VL
172947,VL
172992,VL
173061,VL
173132,VL
173230,VL
173374,VL
173533,VL
173597,VL
173686,VL
173748,VL
173793,VL
173855,VL
174496,VL
173935,VL
174021,VL
174085,VL
174156,VL
174218,VL
174254,VL
174290,VL
100521,GR
101190,GR
104136,GR
100781,GR
101001,GR
101163,GR
101378,GR
101519,GR
101617,GR
101662,GR
101984,GR
102071,GR
102106,GR
179748,GR
102348,GR
102446,GR
102794,GR
102909,GR
103087,GR
103194,GR
103238,GR
103309,GR
103372,GR
103354,GR
103407,GR
103470,GR
179757,GR
103639,GR
103693,GR
179766,GR
103899,GR
103997,GR
104047,GR
179739,GR
104225,GR
104118,GR
104485,GR
104519,GR
104680,GR
104715,GR
104788,GR
104831,GR
179775,GR
104975,GR
105106,GR
100549,GR
105295,GR
105348,GR
154709,GR
105623,GR
105776,GR
105874,GR
105972,GR
105909,GR
40198,BV
40241,BV
40278,BV
40438,BV
40214,BV
40303,BV
40367,BV
40394,BV
40465,BV
40492,BV
40526,BV
42498,BV
40544,BV
40606,BV
40633,BV
40688,BV
40704,BV
40768,BV
40820,BV
40857,BV
40900,BV
42456,BV
42480,BV
40928,BV
40955,BV
40991,BV
41033,BV
41088,BV
41113,BV
41177,BV
42472,BV
41248,BV
41284,BV
41346,BV
41382,BV
41417,BV
41471,BV
41541,BV
41578,BV
41621,BV
41667,BV
41701,BV
41738,BV
42464,BV
41925,BV
41818,BV
41854,BV
42449,BV
41943,BV
42003,BV
42058,BV
42076,BV
42101,BV
42156,BV
42183,BV
42236,BV
42307,BV
42398,BV
161945,VS
161794,VS
161829,VS
164981,VS
161856,VS
162014,VS
162069,VS
162149,VS
162194,VS
162327,VS
162381,VS
162452,VS
162498,VS
162559,VS
162595,VS
162693,VS
162791,VS
162871,VS
162924,VS
167268,VS
163002,VS
163057,VS
163137,VS
167277,VS
163208,VS
163253,VS
163324,VS
163379,VS
164277,VS
167286,VS
163486,VS
163618,VS
163681,VS
163734,VS
163789,VS
163832,VS
167295,VS
167231,VS
163903,VS
164062,VS
163967,VS
164133,VS
164197,VS
164339,VS
167222,VS
164393,VS
164543,VS
164598,VS
164687,VS
164749,VS
164829,VS
164892,VS
164936,VS
167302,VS
165069,VS
165130,VS
165185,VS
165274,VS
167311,VS
165416,VS
167259,VS
165336,VS
165470,VS
165611,VS
167320,VS
167240,VS
165719,VS
165817,VS
165899,VS
165979,VS
166057,VS
166137,VS
166182,VS
166235,VS
166315,VS
166413,VS
166529,VS
166636,VS
166672,VS
166707,VS
166770,VS
166869,VS
166985,VS
167035,VS
167071,VS
167179,VS
63394,CV
63740,CV
63447,CV
63526,CV
63580,CV
63777,CV
65113,CV
63633,CV
63802,CV
63866,CV
65121,CV
63893,CV
63937,CV
64005,CV
64041,CV
64096,CV
64130,CV
64194,CV
64238,CV
63553,CV
65147,CV
64265,CV
65154,CV
64318,CV
64345,CV
64390,CV
64425,CV
64461,CV
64504,CV
65105,CV
65139,CV
64568,CV
64602,CV
64639,CV
64719,CV
64773,CV
64826,CV
63688,CV
64871,CV
64906,CV
65099,CV
64942,CV
64997,CV
65011,CV
65048,CV
106318,MM
106559,MM
106684,MM
106746,MM
106782,MM
108017,MM
108892,MM
108963,MM
109176,MM
106461,MM
106817,MM
109265,MM
106979,MM
107001,MM
107047,MM
107083,MM
107118,MM
107154,MM
107190,MM
107314,MM
107234,MM
107270,MM
107350,MM
107403,MM
107430,MM
107485,MM
107519,MM
107546,MM
107715,MM
107582,MM
107662,MM
179837,MM
179846,MM
107733,MM
107868,MM
107920,MM
107975,MM
108035,MM
108106,MM
179855,MM
108151,MM
106363,MM
179622,MM
108204,MM
108222,MM
108240,MM
108268,MM
108348,MM
108366,MM
108400,MM
179864,MM
108455,MM
108473,MM
179604,MM
106407,MM
108491,MM
108552,MM
108598,MM
108614,MM
108632,MM
108669,MM
108696,MM
106620,MM
108712,MM
108794,MM
108874,MM
108918,MM
108945,MM
109005,MM
109041,MM
179613,MM
109096,MM
106648,MM
109354,MM
109425,MM
109504,MM
9262,AR
9459,AR
9495,AR
9538,AR
9574,AR
9627,AR
9654,AR
11584,AR
12091,AR
9690,AR
9743,AR
9798,AR
9832,AR
9887,AR
10051,AR
10104,AR
9930,AR
10006,AR
10195,AR
10239,AR
10293,AR
10346,AR
10373,AR
10417,AR
10453,AR
10514,AR
10532,AR
10649,AR
10701,AR
12912,AR
9280,AR
10827,AR
12920,AR
10872,AR
10916,AR
10943,AR
11058,AR
11174,AR
11236,AR
11307,AR
11352,AR
9333,AR
11398,AR
11423,AR
11478,AR
11502,AR
11539,AR
11637,AR
11664,AR
11735,AR
11762,AR
11842,AR
11940,AR
11995,AR
12037,AR
12055,AR
12126,AR
12144,AR
12206,AR
12224,AR
12242,AR
12288,AR
12340,AR
12368,AR
12402,AR
9360,AR
12457,AR
12509,AR
10765,AR
12572,AR
12689,AR
12643,AR
9397,AR
12778,AR
12938,AR
12812,AR
12849,AR
12876,AR
20297,BC
20876,BC
20563,BC
20778,BC
20821,BC
22166,BC
20910,BC
20965,BC
21007,BC
21098,BC
21123,BC
21196,BC
21454,BC
21249,BC
21338,BC
21418,BC
21506,BC
21560,BC
21597,BC
26338,BC
21668,BC
21720,BC
21757,BC
21855,BC
21891,BC
21971,BC
22059,BC
22111,BC
22237,BC
22380,BC
22460,BC
22488,BC
22576,BC
22665,BC
22781,BC
22718,BC
26346,BC
22834,BC
20607,BC
22898,BC
20313,BC
22941,BC
23047,BC
26379,BC
23127,BC
20359,BC
23207,BC
23289,BC
23350,BC
23387,BC
20411,BC
23449,BC
20466,BC
23494,BC
23644,BC
23715,BC
26353,BC
23797,BC
23868,BC
23948,BC
23975,BC
24034,BC
24089,BC
24187,BC
24276,BC
24338,BC
24427,BC
24524,BC
24631,BC
26361,BC
24711,BC
24766,BC
24837,BC
24999,BC
25068,BC
25148,BC
26320,BC
25228,BC
25291,BC
25362,BC
25488,BC
25521,BC
25629,BC
20670,BC
25692,BC
25745,BC
25825,BC
25861,BC
25932,BC
26029,BC
26083,BC
26118,BC
26289,BC
42682,BR
42753,BR
43331,BR
43411,BR
42824,BR
42842,BR
42913,BR
44560,BR
42708,BR
42968,BR
43019,BR
43073,BR
43117,BR
43180,BR
43242,BR
43279,BR
43313,BR
43466,BR
43493,BR
43563,BR
43625,BR
43652,BR
43698,BR
43732,BR
43787,BR
43812,BR
43867,BR
43929,BR
43992,BR
44060,BR
44113,BR
42771,BR
44140,BR
44177,BR
44202,BR
44257,BR
44300,BR
44328,BR
44355,BR
44391,BR
44435,BR
44462,BR
44505,BR
44532,BR
159614,TL
159650,TL
159687,TL
159730,TL
159767,TL
159785,TL
159847,TL
161552,TL
159883,TL
159945,TL
159963,TL
160092,TL
160047,TL
160127,TL
160172,TL
160225,TL
160261,TL
160305,TL
160323,TL
160387,TL
160430,TL
160458,TL
160476,TL
160528,TL
161525,TL
160564,TL
160617,TL
160644,TL
160680,TL
160724,TL
160779,TL
160831,TL
160877,TL
160911,TL
160993,TL
161035,TL
161053,TL
161106,TL
161133,TL
161151,TL
161179,TL
161231,TL
161259,TL
161286,TL
161302,TL
161348,TL
161384,TL
161464,TL
161482,TL
161561,TL
161543,TL
83320,HR
83561,HR
83133,HR
83632,HR
83428,HR
83464,HR
83491,HR
83525,HR
83749,HR
83785,HR
83847,HR
83936,HR
83151,HR
83963,HR
84102,HR
86461,HR
83981,HR
84086,HR
84148,HR
84175,HR
86446,HR
84237,HR
84380,HR
84264,HR
84344,HR
83197,HR
84415,HR
84460,HR
84558,HR
84594,HR
86479,HR
84629,HR
84656,HR
84754,HR
84825,HR
86438,HR
84923,HR
85056,HR
85074,HR
85127,HR
85243,HR
83375,HR
85289,HR
86487,HR
85341,HR
86495,HR
85412,HR
86501,HR
85467,HR
85528,HR
85680,HR
85760,HR
85788,HR
85840,HR
86519,HR
85582,HR
85626,HR
85877,HR
85920,HR
85984,HR
86453,HR
86133,HR
86188,HR
86222,HR
86311,HR
86339,HR
86366,HR
60419,CT
60482,CT
60847,CT
60776,CT
60455,CT
60801,CT
62360,CT
60507,CT
62397,CT
60687,CT
60534,CT
60598,CT
60883,CT
60570,CT
60945,CT
61005,CT
63198,CT
61069,CT
63294,CT
61121,CT
61167,CT
61210,CT
61256,CT
61283,CT
61318,CT
61372,CT
61452,CT
61513,CT
63286,CT
61559,CT
61620,CT
63300,CT
61675,CT
61737,CT
63161,CT
63334,CT
61808,CT
61826,CT
63326,CT
63278,CT
61871,CT
61951,CT
62020,CT
60632,CT
62057,CT
63152,CT
62137,CT
62253,CT
62191,CT
62280,CT
62440,CT
62486,CT
62538,CT
62609,CT
62672,CT
62707,CT
62761,CT
62798,CT
63318,CT
62823,CT
62878,CT
62903,CT
62949,CT
62985,CT
63045,CT
63072,CT
63189,CT
60721,CT
63125,CT
63170,CT
120726,NT
120860,NT
120968,NT
124117,NT
121055,NT
121108,NT
124938,NT
121153,NT
121242,NT
121466,NT
121297,NT
121340,NT
121386,NT
121607,NT
125178,NT
121652,NT
121732,NT
121796,NT
121876,NT
121938,NT
122061,NT
122025,NT
120888,NT
122132,NT
122187,NT
122249,NT
122285,NT
125098,NT
122347,NT
122392,NT
125132,NT
122463,NT
120771,NT
122551,NT
122613,NT
125150,NT
122828,NT
122668,NT
125114,NT
122702,NT
122864,NT
122908,NT
122953,NT
120922,NT
123013,NT
123102,NT
123175,NT
123228,NT
125169,NT
123255,NT
123371,NT
125141,NT
123601,NT
123424,NT
123479,NT
123521,NT
123674,NT
123790,NT
123709,NT
123914,NT
123969,NT
124028,NT
124073,NT
125105,NT
124153,NT
124206,NT
120824,NT
124233,NT
124331,NT
124411,NT
124493,NT
124563,NT
124616,NT
124634,NT
124661,NT
124723,NT
124750,NT
124803,NT
124849,NT
124885,NT
125123,NT
125016,NT
125061,NT
44818,BZ
44845,BZ
47916,BZ
48325,BZ
48744,BZ
44863,BZ
44934,BZ
44989,BZ
45003,BZ
45101,BZ
45245,BZ
45334,BZ
45361,BZ
45389,BZ
45496,BZ
45539,BZ
45619,BZ
45673,BZ
45815,BZ
45753,BZ
45888,BZ
45959,BZ
46019,BZ
46108,BZ
46180,BZ
46251,BZ
46313,BZ
46377,BZ
46439,BZ
46484,BZ
46554,BZ
50564,BZ
46769,BZ
46803,BZ
46830,BZ
46867,BZ
46910,BZ
47006,BZ
47079,BZ
47159,BZ
47186,BZ
47300,BZ
47337,BZ
47373,BZ
47417,BZ
47630,BZ
47453,BZ
47578,BZ
47774,BZ
47818,BZ
47854,BZ
48021,BZ
48138,BZ
48165,BZ
48227,BZ
48557,BZ
48487,BZ
48682,BZ
48771,BZ
48842,BZ
48922,BZ
48968,BZ
49019,BZ
49046,BZ
49073,BZ
49153,BZ
49206,BZ
49233,BZ
49313,BZ
49439,BZ
49484,BZ
49545,BZ
49625,BZ
49643,BZ
49769,BZ
49849,BZ
49894,BZ
50549,BZ
49956,BZ
50022,BZ
50068,BZ
50399,BZ
50102,BZ
50228,BZ
50326,BZ
50415,BZ
50479,BZ
50790,CS
51010,CS
50889,CS
50923,CS
50969,CS
51056,CS
51118,CS
51207,CS
51243,CS
51305,CS
51332,CS
51387,CS
51449,CS
51500,CS
51546,CS
51573,CS
51626,CS
51662,CS
51699,CS
51751,CS
51804,CS
51840,CS
51948,CS
51984,CS
52035,CS
51877,CS
52062,CS
52115,CS
52160,CS
53489,CS
52570,CS
52650,CS
52696,CS
52721,CS
53700,CS
52758,CS
52785,CS
52856,CS
52909,CS
52936,CS
52954,CS
52990,CS
53023,CS
53069,CS
53103,CS
53130,CS
53167,CS
53210,CS
53247,CS
53274,CS
53327,CS
53345,CS
53372,CS
50987,CS
53425,CS
53513,CS
53577,CS
53639,CS
53675,CS
53728,CS
53755,CS
53791,CS
53853,CS
54056,CS
54109,CS
54163,CS
54350,CS
54270,CS
54305,CS
54387,CS
54412,CS
54485,CS
54500,CS
54537,CS
54573,CS
54617,CS
54699,CS
95060,IS
95391,IS
95355,IS
98373,IS
95471,IS
95612,IS
95667,IS
95747,IS
100273,IS
95792,IS
95088,IS
95872,IS
95943,IS
96058,IS
96110,IS
96147,IS
100362,IS
96192,IS
96254,IS
96334,IS
96370,IS
100282,IS
96423,IS
96478,IS
96593,IS
96637,IS
96664,IS
96717,IS
96815,IS
96888,IS
96904,IS
100308,IS
96940,IS
97009,IS
100317,IS
97063,IS
97090,IS
97189,IS
97241,IS
97321,IS
97394,IS
97438,IS
100326,IS
97465,IS
95159,IS
97517,IS
95499,IS
97553,IS
97606,IS
97679,IS
97722,IS
97777,IS
97811,IS
97875,IS
97919,IS
98051,IS
98113,IS
98168,IS
98202,IS
98220,IS
98257,IS
98300,IS
98337,IS
98435,IS
98505,IS
98603,IS
98649,IS
100335,IS
98685,IS
95239,IS
98738,IS
100344,IS
98774,IS
98916,IS
98827,IS
98998,IS
99058,IS
99101,IS
99165,IS
99209,IS
99290,IS
99370,IS
99441,IS
99478,IS
99539,IS
95293,IS
99600,IS
99673,IS
99780,IS
99879,IS
99922,IS
96003,IS
100353,IS
99968,IS
100086,IS
100004,IS
100148,IS
100219,IS
86687,HD
87291,HD
86810,HD
87059,HD
87638,HD
86990,HD
87175,HD
87219,HD
87424,HD
89561,HD
87576,HD
87077,HD
87665,HD
87139,HD
87745,HD
87843,HD
87996,HD
88047,HD
88092,HD
87246,HD
88216,HD
88261,HD
88350,HD
88449,HD
88546,HD
88644,HD
88788,HD
88868,HD
88920,HD
89026,HD
89080,HD
86749,HD
89151,HD
89240,HD
87362,HD
89348,HD
89428,HD
91731,HD
86883,HD
89687,HD
89801,HD
89856,HD
89954,HD
90066,HD
90119,HD
90208,HD
90262,HD
90342,HD
90431,HD
90538,HD
90663,HD
90725,HD
90878,HD
90805,HD
90994,HD
91054,HD
91116,HD
91232,HD
91330,HD
86936,HD
91447,HD
91535,HD
91624,HD
91688,HD
91795,HD
91937,HD
91982,HD
92097,HD
92177,HD
69900,DJ
70316,DJ
70352,DJ
70879,DJ
72007,DJ
70414,DJ
70502,DJ
70520,DJ
70566,DJ
70637,DJ
70673,DJ
70726,DJ
70744,DJ
70940,DJ
70897,DJ
70968,DJ
70986,DJ
71126,DJ
71199,DJ
71055,DJ
71260,DJ
69964,DJ
71340,DJ
71457,DJ
71518,DJ
71536,DJ
71572,DJ
74842,DJ
71607,DJ
74859,DJ
74867,DJ
71634,DJ
71698,DJ
71723,DJ
71787,DJ
71812,DJ
71858,DJ
71885,DJ
71910,DJ
74875,DJ
71956,DJ
72034,DJ
72052,DJ
72098,DJ
74883,DJ
72150,DJ
72221,DJ
72276,DJ
72383,DJ
74891,DJ
72579,DJ
72409,DJ
74907,DJ
74915,DJ
72463,DJ
72506,DJ
72533,DJ
72604,DJ
72640,DJ
72677,DJ
72819,DJ
70094,DJ
72882,DJ
74923,DJ
72926,DJ
72953,DJ
73031,DJ
73068,DJ
72980,DJ
73013,DJ
73317,DJ
73102,DJ
73246,DJ
73335,DJ
73371,DJ
73460,DJ
73503,DJ
73567,DJ
73594,DJ
73629,DJ
73665,DJ
73709,DJ
74931,DJ
70110,DJ
73736,DJ
73772,DJ
73852,DJ
73905,DJ
73923,DJ
74949,DJ
73996,DJ
74028,DJ
74073,DJ
74108,DJ
74135,DJ
74171,DJ
74224,DJ
74242,DJ
70174,DJ
74956,DJ
74322,DJ
74359,DJ
74411,DJ
74509,DJ
74536,DJ
74554,DJ
74581,DJ
74732,DJ
74750,DJ
74616,DJ
74705,DJ
109773,MH
110063,MH
109924,MH
110116,MH
110232,MH
110296,MH
110456,MH
110535,MH
110571,MH
110688,MH
114060,MH
110740,MH
110820,MH
110875,MH
110946,MH
111006,MH
111097,MH
111220,MH
111275,MH
111417,MH
111444,MH
111550,MH
111480,MH
112904,MH
111587,MH
112245,MH
111685,MH
111783,MH
111818,MH
111863,MH
111916,MH
111989,MH
112030,MH
112076,MH
112129,MH
112263,MH
112334,MH
112370,MH
112469,MH
112548,MH
112600,MH
112664,MH
112744,MH
110027,MH
112771,MH
112806,MH
112879,MH
112959,MH
112995,MH
113153,MH
113206,MH
113233,MH
113395,MH
113466,MH
113493,MH
113518,MH
113607,MH
109826,MH
113625,MH
113698,MH
113732,MH
113849,MH
113894,MH
113929,MH
113974,MH
114079,MH
65342,DB
65841,DB
65609,DB
65681,DB
65921,DB
68627,DB
66081,DB
65379,DB
66198,DB
66223,DB
66330,DB
66401,DB
66152,DB
66009,DB
101341,DB
66438,DB
66474,DB
101564,DB
66526,DB
101840,DB
66580,DB
66697,DB
66731,DB
66768,DB
66857,DB
66955,DB
67014,DB
67121,DB
67167,DB
102286,DB
67256,DB
67292,DB
65413,DB
67327,DB
67407,DB
67470,DB
67522,DB
65707,DB
67595,DB
67648,DB
67675,DB
67737,DB
65869,DB
67773,DB
67835,DB
67906,DB
67942,DB
68002,DB
68048,DB
68128,DB
68182,DB
68253,DB
65645,DB
104387,DB
68280,DB
68324,DB
68342,DB
179935,DB
65752,DB
179908,DB
68404,DB
68431,DB
68468,DB
68529,DB
68565,DB
179891,DB
179926,DB
65431,DB
179917,DB
68716,DB
68789,DB
105142,DB
68887,DB
65477,DB
105534,DB
68921,DB
68976,DB
65501,DB
69063,DB
69170,DB
69250,DB
69303,DB
69447,DB
69330,DB
69394,DB
179711,DB
69526,DB
69615,DB
179640,DB
54975,CJ
55357,CJ
55008,CJ
55384,CJ
55259,CJ
55446,CJ
55473,CJ
55598,CJ
55623,CJ
55687,CJ
55776,CJ
55838,CJ
55918,CJ
56014,CJ
56096,CJ
56210,CJ
56265,CJ
56327,CJ
56354,CJ
56425,CJ
56461,CJ
56522,CJ
56568,CJ
56666,CJ
56773,CJ
57314,CJ
56844,CJ
56988,CJ
57083,CJ
57163,CJ
57225,CJ
57350,CJ
57449,CJ
55062,CJ
57546,CJ
57582,CJ
57644,CJ
57706,CJ
57742,CJ
57948,CJ
57831,CJ
57902,CJ
58008,CJ
58142,CJ
58204,CJ
55106,CJ
58259,CJ
58311,CJ
58357,CJ
58393,CJ
58464,CJ
58534,CJ
55160,CJ
55277,CJ
58552,CJ
58623,CJ
58721,CJ
60169,CJ
58856,CJ
58794,CJ
58918,CJ
58990,CJ
59041,CJ
59130,CJ
59238,CJ
59283,CJ
55311,CJ
59327,CJ
59434,CJ
59498,CJ
59586,CJ
59416,CJ
59657,CJ
59693,CJ
59764,CJ
59826,CJ
59880,CJ
59942,CJ
60062,CJ
60099,CJ
60026,CJ
151790,TR
151870,TR
151683,TR
151905,TR
151978,TR
151996,TR
152038,TR
155083,TR
155092,TR
152083,TR
152127,TR
152172,TR
152234,TR
152252,TR
152270,TR
152314,TR
152332,TR
152350,TR
152412,TR
152467,TR
152500,TR
152528,TR
151709,TR
152564,TR
152582,TR
152617,TR
152662,TR
151932,TR
152724,TR
152760,TR
155109,TR
152797,TR
152868,TR
152902,TR
155118,TR
155127,TR
152993,TR
152948,TR
153026,TR
153062,TR
151736,TR
153106,TR
153124,TR
151763,TR
153151,TR
153204,TR
153240,TR
153277,TR
153339,TR
153295,TR
153384,TR
151816,TR
153400,TR
153437,TR
154996,TR
153473,TR
153507,TR
153543,TR
153561,TR
153589,TR
153623,TR
153605,TR
153696,TR
151834,TR
155136,TR
153829,TR
153865,TR
153909,TR
155145,TR
153936,TR
153972,TR
154308,TR
154013,TR
154068,TR
154139,TR
154184,TR
154166,TR
154228,TR
154282,TR
154344,TR
154380,TR
154415,TR
154460,TR
154497,TR
154521,TR
154585,TR
154665,TR
154736,TR
154754,TR
154790,TR
154834,TR
155154,TR
154932,TR
154852,TR
154914,TR
153776,TR
154978,TR
114319,MS
114809,MS
114514,MS
114925,MS
