SIRUTA,Cod judet
125347,OT
125472,OT
125418,OT
125542,OT
125622,OT
128105,OT
128374,OT
128711,OT
125677,OT
125659,OT
130286,OT
125757,OT
125846,OT
125873,OT
125962,OT
126022,OT
125999,OT
126077,OT
130295,OT
126166,OT
126102,OT
126148,OT
126228,OT
126326,OT
126380,OT
126406,OT
126503,OT
126433,OT
126585,OT
126647,OT
126674,OT
126718,OT
126772,OT
126825,OT
125490,OT
126905,OT
126978,OT
127019,OT
127064,OT
130302,OT
125588,OT
130311,OT
127126,OT
127144,OT
127171,OT
130320,OT
127224,OT
130339,OT
127251,OT
127288,OT
127322,OT
130348,OT
127368,OT
127386,OT
127411,OT
127493,OT
127536,OT
127563,OT
127625,OT
127689,OT
127714,OT
127750,OT
127812,OT
127858,OT
127901,OT
127938,OT
130357,OT
127983,OT
128178,OT
128052,OT
128221,OT
128301,OT
128436,OT
128472,OT
128524,OT
128560,OT
128588,OT
128882,OT
130366,OT
128613,OT
128659,OT
128864,OT
125374,OT
128962,OT
129040,OT
129095,OT
129111,OT
129139,OT
129184,OT
129246,OT
130384,OT
129282,OT
129317,OT
129380,OT
129460,OT
129503,OT
129567,OT
129585,OT
129629,OT
129656,OT
129718,OT
129745,OT
129763,OT
129987,OT
129816,OT
129898,OT
130375,OT
129914,OT
130026,OT
130062,OT
130124,OT
130231,OT
13169,AG
13490,AG
13622,AG
13668,AG
13301,AG
13392,AG
13757,AG
13819,AG
13891,AG
13935,AG
13999,AG
14049,AG
13187,AG
14085,AG
14165,AG
14272,AG
14450,AG
14352,AG
14405,AG
14584,AG
14673,AG
14726,AG
13276,AG
14753,AG
14851,AG
14922,AG
20063,AG
14940,AG
15064,AG
15108,AG
15233,AG
15313,AG
15402,AG
15448,AG
15493,AG
15554,AG
15652,AG
15741,AG
15830,AG
15901,AG
15983,AG
16132,AG
16285,AG
16329,AG
16365,AG
16427,AG
16454,AG
16472,AG
16506,AG
16551,AG
16613,AG
16659,AG
16739,AG
16757,AG
16908,AG
16944,AG
17049,AG
13365,AG
17101,AG
17209,AG
17254,AG
17334,AG
17398,AG
17423,AG
17496,AG
17575,AG
17619,AG
17726,AG
17771,AG
17824,AG
17851,AG
18028,AG
17913,AG
17968,AG
18162,AG
18242,AG
18331,AG
20048,AG
18411,AG
18475,AG
18527,AG
18554,AG
18581,AG
18670,AG
18741,AG
18778,AG
18858,AG
18938,AG
19007,AG
19114,AG
19141,AG
19212,AG
19249,AG
19338,AG
19392,AG
19560,AG
19631,AG
19695,AG
13524,AG
19793,AG
19999,AG
20055,AG
139704,SJ
139740,SJ
139811,SJ
139884,SJ
139937,SJ
139982,SJ
140084,SJ
140146,SJ
140208,SJ
140244,SJ
140280,SJ
140324,SJ
180037,SJ
140379,SJ
140440,SJ
140477,SJ
140501,SJ
140547,SJ
140583,SJ
140627,SJ
140672,SJ
140770,SJ
140823,SJ
140869,SJ
140958,SJ
141027,SJ
141081,SJ
141134,SJ
141232,SJ
141312,SJ
141376,SJ
141447,SJ
141535,SJ
141580,SJ
141722,SJ
